timestamp,http_requests_per_sec,http_p99_latency_ms,http_5xx_rate,cart_upstream_error_rate,product_upstream_error_rate,active_connections
2026-06-01T00:00:00Z,65.23,58.3,0.42,0.66,0.02,372
2026-06-01T00:00:30Z,73.5,20.3,0.01,0.1,0.12,361
2026-06-01T00:01:00Z,59.39,10.0,0.0,0.67,0.09,336
2026-06-01T00:01:30Z,71.59,26.1,0.64,0.65,0.08,337
2026-06-01T00:02:00Z,69.77,17.7,0.25,0.63,0.29,368
2026-06-01T00:02:30Z,61.73,40.8,0.37,0.66,0.17,362
2026-06-01T00:03:00Z,71.29,10.0,1.37,0.6,0.16,343
2026-06-01T00:03:30Z,49.51,10.0,1.38,0.44,0.02,365
2026-06-01T00:04:00Z,56.91,36.6,0.0,0.23,0.18,340
2026-06-01T00:04:30Z,57.76,14.7,0.0,0.44,0.13,365
2026-06-01T00:05:00Z,49.99,31.4,0.0,0.73,0.26,357
2026-06-01T00:05:30Z,60.03,24.7,0.0,0.59,0.15,354
2026-06-01T00:06:00Z,72.69,24.5,0.0,0.09,0.2,346
2026-06-01T00:06:30Z,58.61,32.1,0.59,0.56,0.08,362
2026-06-01T00:07:00Z,79.89,11.4,0.31,0.64,0.22,362
2026-06-01T00:07:30Z,64.92,10.0,0.75,0.77,0.03,348
2026-06-01T00:08:00Z,64.51,10.1,1.5,0.47,0.14,352
2026-06-01T00:08:30Z,59.39,19.9,0.07,0.1,0.17,367
2026-06-01T00:09:00Z,66.05,21.2,1.5,0.03,0.17,360
2026-06-01T00:09:30Z,61.0,14.9,0.0,0.33,0.29,332
2026-06-01T00:10:00Z,66.64,25.2,0.0,0.03,0.14,341
2026-06-01T00:10:30Z,62.23,22.6,0.0,0.73,0.12,342
2026-06-01T00:11:00Z,63.63,32.7,0.0,0.35,0.1,348
2026-06-01T00:11:30Z,70.34,21.4,0.46,0.28,0.3,354
2026-06-01T00:12:00Z,60.62,40.1,0.81,0.01,0.11,339
2026-06-01T00:12:30Z,64.08,20.3,0.0,0.64,0.15,327
2026-06-01T00:13:00Z,65.79,14.9,1.2,0.61,0.16,334
2026-06-01T00:13:30Z,63.17,24.4,0.36,0.1,0.16,321
2026-06-01T00:14:00Z,63.74,31.8,0.67,0.11,0.25,356
2026-06-01T00:14:30Z,65.84,10.3,0.0,0.24,0.05,352
2026-06-01T00:15:00Z,52.02,10.0,0.13,0.29,0.28,369
2026-06-01T00:15:30Z,65.17,29.7,0.0,0.68,0.23,362
2026-06-01T00:16:00Z,66.1,10.0,0.0,0.07,0.29,403
