timestamp,http_requests_per_sec,http_p99_latency_ms,http_5xx_rate,upstream_timeout_rate
2026-06-01T00:00:00Z,20.83,20.0,0.68,0.92
2026-06-01T00:00:30Z,22.24,24.2,0.31,0.77
2026-06-01T00:01:00Z,17.76,35.4,0.67,0.09
2026-06-01T00:01:30Z,22.41,31.3,0.73,0.06
2026-06-01T00:02:00Z,18.92,38.7,0.77,0.14
2026-06-01T00:02:30Z,24.96,104.0,0.49,0.3
2026-06-01T00:03:00Z,28.66,40.8,0.68,0.26
2026-06-01T00:03:30Z,27.66,44.7,0.2,0.68
2026-06-01T00:04:00Z,20.22,26.7,0.26,0.5
2026-06-01T00:04:30Z,13.44,30.5,0.62,0.97
2026-06-01T00:05:00Z,23.61,55.8,0.4,0.51
2026-06-01T00:05:30Z,28.38,27.8,0.04,0.17
2026-06-01T00:06:00Z,27.41,20.0,0.46,0.58
2026-06-01T00:06:30Z,21.64,28.9,0.09,0.53
2026-06-01T00:07:00Z,19.97,20.0,0.17,0.12
2026-06-01T00:07:30Z,29.65,45.4,0.11,0.25
2026-06-01T00:08:00Z,17.14,26.3,0.74,0.78
2026-06-01T00:08:30Z,23.15,20.0,0.09,0.09
2026-06-01T00:09:00Z,24.37,32.9,0.78,0.09
2026-06-01T00:09:30Z,19.96,20.0,0.72,0.1
2026-06-01T00:10:00Z,18.27,61.3,0.57,0.57
2026-06-01T00:10:30Z,16.97,59.3,0.48,0.88
2026-06-01T00:11:00Z,25.08,36.0,0.5,0.01
2026-06-01T00:11:30Z,20.9,20.0,0.71,0.73
2026-06-01T00:12:00Z,22.14,20.2,0.13,0.64
2026-06-01T00:12:30Z,19.19,20.0,0.34,0.41
2026-06-01T00:13:00Z,21.32,44.3,0.37,0.82
2026-06-01T00:13:30Z,29.35,20.0,0.7,0.62
2026-06-01T00:14:00Z,20.4,39.5,0.1,0.17
2026-06-01T00:14:30Z,24.67,28.9,0.68,0.72
2026-06-01T00:15:00Z,20.66,58.9,0.15,0.85
2026-06-01T00:15:30Z,22.09,51.1,0.26,0.67
2026-06-01T00:16:00Z,19.33,68.4,0.52,0.07
2026-06-01T00:16:30Z,27.16,30.1,0.36,0.53
2026-06-01T00:17:00Z,22.73,31.7,0.52,0.49
2026-06-01T00:17:30Z,19.33,20.0,0.18,0.58
2026-06-01T00:18:00Z,27.96,20.0,0.47,0.49
2026-06-01T00:18:30Z,25.53,41.2,0.31,0.23
2026-06-01T00:19:00Z,25.28,65.2,0.75,0.67
2026-06-01T00:19:30Z,26.28,23.7,0.09,0.54
2026-06-01T00:20:00Z,21.48,23.8,0.72,0.2
2026-06-01T00:20:30Z,26.16,49.5,0.78,0.31
2026-06-01T00:21:00Z,23.33,20.0,0.59,0.22
2026-06-01T00:21:30Z,19.22,56.9,0.63,0.11
2026-06-01T00:22:00Z,23.15,33.5,0.46,0.46
2026-06-01T00:22:30Z,28.59,60.1,0.51,0.27
2026-06-01T00:23:00Z,19.23,28.5,0.07,1.0
2026-06-01T00:23:30Z,20.64,81.5,0.25,0.62
2026-06-01T00:24:00Z,23.24,20.0,0.42,0.04
2026-06-01T00:24:30Z,24.91,67.1,0.59,0.93
2026-06-01T00:25:00Z,24.06,52.9,0.74,0.2
2026-06-01T00:25:30Z,25.81,50.1,0.47,0.83
2026-06-01T00:26:00Z,24.82,20.0,0.13,0.93
2026-06-01T00:26:30Z,24.24,50.0,0.18,0.38
