timestamp,http_requests_per_sec,http_p99_latency_ms,http_5xx_rate,upstream_timeout_rate
2026-06-01T00:00:00Z,11.42,54.5,0.39,0.23
2026-06-01T00:00:30Z,14.81,93.7,0.29,0.09
2026-06-01T00:01:00Z,17.4,75.1,0.03,0.34
2026-06-01T00:01:30Z,18.81,61.4,0.24,0.06
2026-06-01T00:02:00Z,11.53,50.2,0.01,0.35
2026-06-01T00:02:30Z,18.19,63.2,0.26,0.11
2026-06-01T00:03:00Z,17.7,54.7,0.29,0.47
2026-06-01T00:03:30Z,19.26,54.5,0.01,0.22
2026-06-01T00:04:00Z,14.56,62.2,0.15,0.05
2026-06-01T00:04:30Z,13.44,74.0,0.16,0.26
2026-06-01T00:05:00Z,16.15,53.5,0.14,0.5
2026-06-01T00:05:30Z,15.45,64.2,0.09,0.38
2026-06-01T00:06:00Z,13.48,80.2,0.16,0.21
2026-06-01T00:06:30Z,12.41,40.0,0.14,0.48
2026-06-01T00:07:00Z,15.98,40.0,0.07,0.3
2026-06-01T00:07:30Z,16.22,67.2,0.03,0.38
2026-06-01T00:08:00Z,15.16,47.0,0.35,0.42
2026-06-01T00:08:30Z,13.49,80.3,0.05,0.45
2026-06-01T00:09:00Z,12.78,64.4,0.3,0.06
2026-06-01T00:09:30Z,16.96,61.6,0.31,0.39
2026-06-01T00:10:00Z,15.34,72.6,0.06,0.4
2026-06-01T00:10:30Z,11.03,40.0,0.2,0.43
2026-06-01T00:11:00Z,14.5,62.7,0.17,0.23
2026-06-01T00:11:30Z,14.44,52.3,0.11,0.34
2026-06-01T00:12:00Z,15.07,63.5,0.26,0.4
2026-06-01T00:12:30Z,13.07,72.7,0.33,0.48
2026-06-01T00:13:00Z,14.92,68.6,0.21,0.16
2026-06-01T00:13:30Z,15.8,46.2,0.19,0.5
2026-06-01T00:14:00Z,17.35,40.0,0.02,0.31
2026-06-01T00:14:30Z,17.47,61.9,0.39,0.1
2026-06-01T00:15:00Z,21.04,79.2,0.18,0.0
2026-06-01T00:15:30Z,16.27,40.0,0.32,0.35
2026-06-01T00:16:00Z,14.63,48.9,0.21,0.38
2026-06-01T00:16:30Z,14.26,52.5,0.13,0.13
2026-06-01T00:17:00Z,18.75,44.5,0.08,0.5
2026-06-01T00:17:30Z,18.57,40.0,0.38,0.46
2026-06-01T00:18:00Z,16.44,66.8,0.29,0.16
2026-06-01T00:18:30Z,17.01,72.5,0.3,0.45
