timestamp,http_requests_per_sec,http_p99_latency_ms,cpu_usage_percent,http_5xx_rate
2026-06-01T00:00:00Z,32.49,44.4,10.11,0.06
2026-06-01T00:00:30Z,33.2,26.7,34.98,0.0
2026-06-01T00:01:00Z,37.18,22.6,21.46,0.78
2026-06-01T00:01:30Z,33.58,37.7,14.26,1.36
2026-06-01T00:02:00Z,28.63,42.7,28.16,0.0
2026-06-01T00:02:30Z,22.57,40.6,22.19,0.0
2026-06-01T00:03:00Z,33.32,28.7,20.2,1.5
2026-06-01T00:03:30Z,24.64,20.0,13.01,0.0
2026-06-01T00:04:00Z,29.65,35.3,7.32,0.0
2026-06-01T00:04:30Z,35.2,46.8,10.29,0.0
2026-06-01T00:05:00Z,29.26,40.8,12.8,0.0
2026-06-01T00:05:30Z,38.94,45.9,15.1,0.0
2026-06-01T00:06:00Z,32.39,20.0,18.3,0.0
2026-06-01T00:06:30Z,31.97,53.0,21.59,0.0
2026-06-01T00:07:00Z,24.61,24.9,17.87,0.0
2026-06-01T00:07:30Z,29.97,27.4,22.01,0.0
2026-06-01T00:08:00Z,33.11,62.2,19.89,0.35
2026-06-01T00:08:30Z,24.97,20.0,32.18,0.14
2026-06-01T00:09:00Z,21.57,67.3,15.72,0.66
2026-06-01T00:09:30Z,36.47,20.7,18.96,0.0
2026-06-01T00:10:00Z,32.92,60.0,6.34,1.21
2026-06-01T00:10:30Z,30.26,39.9,23.4,1.5
2026-06-01T00:11:00Z,29.88,20.0,13.92,0.0
2026-06-01T00:11:30Z,33.48,20.0,16.64,0.0
2026-06-01T00:12:00Z,29.34,20.0,31.24,0.63
2026-06-01T00:12:30Z,32.71,24.9,18.55,0.0
2026-06-01T00:13:00Z,29.7,27.1,35.67,0.68
2026-06-01T00:13:30Z,31.38,36.4,14.04,0.0
2026-06-01T00:14:00Z,36.2,28.4,24.21,0.0
2026-06-01T00:14:30Z,24.55,20.0,11.08,0.0
2026-06-01T00:15:00Z,27.36,24.0,27.49,1.35
2026-06-01T00:15:30Z,21.66,20.0,22.23,0.0
2026-06-01T00:16:00Z,31.63,20.0,21.06,0.0
2026-06-01T00:16:30Z,28.89,20.0,9.69,0.8
2026-06-01T00:17:00Z,28.35,47.2,25.64,0.0
2026-06-01T00:17:30Z,29.75,45.8,5.35,0.0
2026-06-01T00:18:00Z,26.02,28.1,19.03,0.07
2026-06-01T00:18:30Z,30.11,52.8,22.1,0.0
2026-06-01T00:19:00Z,28.45,20.0,19.23,1.05
2026-06-01T00:19:30Z,25.91,25.1,18.37,0.0
2026-06-01T00:20:00Z,23.07,30.8,20.87,0.0
2026-06-01T00:20:30Z,37.67,44.0,22.6,0.0
2026-06-01T00:21:00Z,38.59,53.8,8.38,0.0
2026-06-01T00:21:30Z,31.58,20.0,29.9,0.0
2026-06-01T00:22:00Z,28.45,54.6,29.54,0.0
2026-06-01T00:22:30Z,26.73,36.9,16.38,0.25
2026-06-01T00:23:00Z,34.4,60.5,20.35,0.0
2026-06-01T00:23:30Z,30.32,20.0,11.51,0.0
2026-06-01T00:24:00Z,33.45,20.2,14.55,0.7
2026-06-01T00:24:30Z,23.94,25.4,7.48,0.0
2026-06-01T00:25:00Z,29.08,65.1,17.3,0.35
2026-06-01T00:25:30Z,28.24,86.0,13.77,0.0
2026-06-01T00:26:00Z,28.41,22.7,23.72,0.0
2026-06-01T00:26:30Z,33.29,20.0,20.57,0.0
2026-06-01T00:27:00Z,33.77,20.0,26.74,0.0
2026-06-01T00:27:30Z,27.6,48.6,19.84,0.0
2026-06-01T00:28:00Z,32.85,43.5,15.3,0.0
2026-06-01T00:28:30Z,27.03,26.4,17.96,0.65
2026-06-01T00:29:00Z,32.12,56.7,15.38,0.99
2026-06-01T00:29:30Z,34.58,20.0,29.37,0.48
